Code,Title,Description,Source
114112,Shellfish Fishing,Shellfish Fishing,NAICS
114119,Other Marine Fishing,Other Marine Fishing,NAICS
1142,Hunting and TrappingT,Hunting and TrappingT,NAICS
11421,Hunting and TrappingT,Hunting and TrappingT,NAICS
114210,Hunting and Trapping,Hunting and Trapping,NAICS
115,Support Activities for Agriculture and ForestryT,Support Activities for Agriculture and ForestryT,NAICS
1151,Support Activities for Crop ProductionT,Support Activities for Crop ProductionT,NAICS
11511,Support Activities for Crop ProductionT,Support Activities for Crop ProductionT,NAICS
115111,Cotton Ginning,Cotton Ginning,NAICS
115112,"Soil Preparation, Planting, and Cultivating","Soil Preparation, Planting, and Cultivating",NAICS
115113,"Crop Harvesting, Primarily by Machine","Crop Harvesting, Primarily by Machine",NAICS
115114,Postharvest Crop Activities (except Cotton Ginning),Postharvest Crop Activities (except Cotton Ginning),NAICS
115115,Farm Labor Contractors and Crew Leaders,Farm Labor Contractors and Crew Leaders,NAICS
115116,Farm Management Services,Farm Management Services,NAICS
1152,Support Activities for Animal ProductionT,Support Activities for Animal ProductionT,NAICS
11521,Support Activities for Animal ProductionT,Support Activities for Animal ProductionT,NAICS
115210,Support Activities for Animal Production,Support Activities for Animal Production,NAICS
1153,Support Activities for ForestryT,Support Activities for ForestryT,NAICS
11531,Support Activities for ForestryT,Support Activities for ForestryT,NAICS
115310,Support Activities for Forestry,Support Activities for Forestry,NAICS
21,"Mining, Quarrying, and Oil and Gas Extraction","Mining, Quarrying, and Oil and Gas Extraction",NAICS
211,Oil and Gas ExtractionT,Oil and Gas ExtractionT,NAICS
2111,Oil and Gas ExtractionT,Oil and Gas ExtractionT,NAICS
21112,Crude Petroleum Extraction,Crude Petroleum Extraction,NAICS
211120,Crude Petroleum Extraction,Crude Petroleum Extraction,NAICS
21113,Natural Gas Extraction,Natural Gas Extraction,NAICS
211130,Natural Gas Extraction,Natural Gas Extraction,NAICS
212,Mining (except Oil and Gas)T,Mining (except Oil and Gas)T,NAICS
2121,Coal MiningT,Coal MiningT,NAICS
21211,Coal MiningT,Coal MiningT,NAICS
212114,Surface Coal Mining,Surface Coal Mining,NAICS
212115,Underground Coal Mining,Underground Coal Mining,NAICS
2122,Metal Ore MiningT,Metal Ore MiningT,NAICS
21221,Iron Ore MiningT,Iron Ore MiningT,NAICS
212210,Iron Ore Mining,Iron Ore Mining,NAICS
21222,Gold Ore and Silver Ore MiningT,Gold Ore and Silver Ore MiningT,NAICS
212220,Gold Ore and Silver Ore Mining,Gold Ore and Silver Ore Mining,NAICS
21223,"Copper, Nickel, Lead, and Zinc MiningT","Copper, Nickel, Lead, and Zinc MiningT",NAICS
212230,"Copper, Nickel, Lead, and Zinc Mining","Copper, Nickel, Lead, and Zinc Mining",NAICS
21229,Other Metal Ore MiningT,Other Metal Ore MiningT,NAICS
212290,Other Metal Ore Mining,Other Metal Ore Mining,NAICS
2123,Nonmetallic Mineral Mining and QuarryingT,Nonmetallic Mineral Mining and QuarryingT,NAICS
21231,Stone Mining and QuarryingT,Stone Mining and QuarryingT,NAICS
212311,Dimension Stone Mining and Quarrying,Dimension Stone Mining and Quarrying,NAICS
212312,Crushed and Broken Limestone Mining and Quarrying,Crushed and Broken Limestone Mining and Quarrying,NAICS
212313,Crushed and Broken Granite Mining and Quarrying,Crushed and Broken Granite Mining and Quarrying,NAICS
212319,Other Crushed and Broken Stone Mining and Quarrying,Other Crushed and Broken Stone Mining and Quarrying,NAICS
21232,"Sand, Gravel, Clay, and Ceramic and Refractory Minerals Mining and QuarryingT","Sand, Gravel, Clay, and Ceramic and Refractory Minerals Mining and QuarryingT",NAICS
212321,Construction Sand and Gravel Mining,Construction Sand and Gravel Mining,NAICS
212322,Industrial Sand Mining,Industrial Sand Mining,NAICS
212323,"Kaolin, Clay, and Ceramic and Refractory Minerals Mining","Kaolin, Clay, and Ceramic and Refractory Minerals Mining",NAICS
21239,Other Nonmetallic Mineral Mining and QuarryingT,Other Nonmetallic Mineral Mining and QuarryingT,NAICS
212390,Other Nonmetallic Mineral Mining and Quarrying,Other Nonmetallic Mineral Mining and Quarrying,NAICS
213,Support Activities for MiningT,Support Activities for MiningT,NAICS
2131,Support Activities for MiningT,Support Activities for MiningT,NAICS
21311,Support Activities for MiningT,Support Activities for MiningT,NAICS
213111,Drilling Oil and Gas Wells,Drilling Oil and Gas Wells,NAICS
213112,Support Activities for Oil and Gas Operations,Support Activities for Oil and Gas Operations,NAICS
213113,Support Activities for Coal Mining,Support Activities for Coal Mining,NAICS
213114,Support Activities for Metal Mining,Support Activities for Metal Mining,NAICS
213115,Support Activities for Nonmetallic Minerals (except Fuels) Mining,Support Activities for Nonmetallic Minerals (except Fuels) Mining,NAICS
22,Utilities,Utilities,NAICS
221,UtilitiesT,UtilitiesT,NAICS
2211,"Electric Power Generation, Transmission and Distribution","Electric Power Generation, Transmission and Distribution",NAICS
22111,Electric Power GenerationT,Electric Power GenerationT,NAICS
221111,Hydroelectric Power Generation,Hydroelectric Power Generation,NAICS
221112,Fossil Fuel Electric Power Generation,Fossil Fuel Electric Power Generation,NAICS
221113,Nuclear Electric Power Generation,Nuclear Electric Power Generation,NAICS
221114,Solar Electric Power Generation,Solar Electric Power Generation,NAICS
221115,Wind Electric Power Generation,Wind Electric Power Generation,NAICS
221116,Geothermal Electric Power Generation,Geothermal Electric Power Generation,NAICS
221117,Biomass Electric Power Generation,Biomass Electric Power Generation,NAICS
221118,Other Electric Power Generation,Other Electric Power Generation,NAICS
22112,"Electric Power Transmission, Control, and DistributionT","Electric Power Transmission, Control, and DistributionT",NAICS
221121,Electric Bulk Power Transmission and Control,Electric Bulk Power Transmission and Control,NAICS
221122,Electric Power Distribution,Electric Power Distribution,NAICS
2212,Natural Gas DistributionT,Natural Gas DistributionT,NAICS
22121,Natural Gas DistributionT,Natural Gas DistributionT,NAICS
221210,Natural Gas Distribution,Natural Gas Distribution,NAICS
2213,"Water, Sewage and Other SystemsT","Water, Sewage and Other SystemsT",NAICS
22131,Water Supply and Irrigation Systems,Water Supply and Irrigation Systems,NAICS
221310,Water Supply and Irrigation Systems,Water Supply and Irrigation Systems,NAICS
22132,Sewage Treatment Facilities,Sewage Treatment Facilities,NAICS
221320,Sewage Treatment Facilities,Sewage Treatment Facilities,NAICS
22133,Steam and Air-Conditioning Supply,Steam and Air-Conditioning Supply,NAICS
221330,Steam and Air-Conditioning Supply,Steam and Air-Conditioning Supply,NAICS
23,Construction,Construction,NAICS
236,Construction of BuildingsT,Construction of BuildingsT,NAICS
2361,Residential Building ConstructionT,Residential Building ConstructionT,NAICS
23611,Residential Building ConstructionT,Residential Building ConstructionT,NAICS
236115,New Single-Family Housing Construction (except For-Sale Builders),New Single-Family Housing Construction (except For-Sale Builders),NAICS
236116,New Multifamily Housing Construction (except For-Sale Builders),New Multifamily Housing Construction (except For-Sale Builders),NAICS
236117,New Housing For-Sale Builders,New Housing For-Sale Builders,NAICS
236118,Residential Remodelers,Residential Remodelers,NAICS
2362,Nonresidential Building ConstructionT,Nonresidential Building ConstructionT,NAICS
23621,Industrial Building ConstructionT,Industrial Building ConstructionT,NAICS
236210,Industrial Building Construction,Industrial Building Construction,NAICS
23622,Commercial and Institutional Building ConstructionT,Commercial and Institutional Building ConstructionT,NAICS
236220,Commercial and Institutional Building Construction,Commercial and Institutional Building Construction,NAICS
237,Heavy and Civil Engineering ConstructionT,Heavy and Civil Engineering ConstructionT,NAICS
2371,Utility System Construction,Utility System Construction,NAICS
23711,Water and Sewer Line and Related Structures ConstructionT,Water and Sewer Line and Related Structures ConstructionT,NAICS
237110,Water and Sewer Line and Related Structures Construction,Water and Sewer Line and Related Structures Construction,NAICS
23712,Oil and Gas Pipeline and Related Structures ConstructionT,Oil and Gas Pipeline and Related Structures ConstructionT,NAICS
237120,Oil and Gas Pipeline and Related Structures Construction,Oil and Gas Pipeline and Related Structures Construction,NAICS
23713,Power and Communication Line and Related Structures ConstructionT,Power and Communication Line and Related Structures ConstructionT,NAICS
237130,Power and Communication Line and Related Structures Construction,Power and Communication Line and Related Structures Construction,NAICS
2372,Land SubdivisionT,Land SubdivisionT,NAICS
23721,Land SubdivisionT,Land SubdivisionT,NAICS
237210,Land Subdivision,Land Subdivision,NAICS
2373,"Highway, Street, and Bridge ConstructionT","Highway, Street, and Bridge ConstructionT",NAICS
23731,"Highway, Street, and Bridge ConstructionT","Highway, Street, and Bridge ConstructionT",NAICS
237310,"Highway, Street, and Bridge Construction","Highway, Street, and Bridge Construction",NAICS
2379,Other Heavy and Civil Engineering ConstructionT,Other Heavy and Civil Engineering ConstructionT,NAICS
23799,Other Heavy and Civil Engineering Construction,Other Heavy and Civil Engineering Construction,NAICS
237990,Other Heavy and Civil Engineering Construction,Other Heavy and Civil Engineering Construction,NAICS
238,Specialty Trade ContractorsT,Specialty Trade ContractorsT,NAICS
2381,"Foundation, Structure, and Building Exterior ContractorsT","Foundation, Structure, and Building Exterior ContractorsT",NAICS
23811,Poured Concrete Foundation and Structure Contractors,Poured Concrete Foundation and Structure Contractors,NAICS
238110,Poured Concrete Foundation and Structure Contractors,Poured Concrete Foundation and Structure Contractors,NAICS
23812,Structural Steel and Precast Concrete Contractors,Structural Steel and Precast Concrete Contractors,NAICS
238120,Structural Steel and Precast Concrete Contractors,Structural Steel and Precast Concrete Contractors,NAICS
23813,Framing Contractors,Framing Contractors,NAICS
238130,Framing Contractors,Framing Contractors,NAICS
23814,Masonry Contractors,Masonry Contractors,NAICS
238140,Masonry Contractors,Masonry Contractors,NAICS
23815,Glass and Glazing Contractors,Glass and Glazing Contractors,NAICS
238150,Glass and Glazing Contractors,Glass and Glazing Contractors,NAICS
23816,Roofing Contractors,Roofing Contractors,NAICS
238160,Roofing Contractors,Roofing Contractors,NAICS
23817,Siding Contractors,Siding Contractors,NAICS
238170,Siding Contractors,Siding Contractors,NAICS
23819,"Other Foundation, Structure, and Building Exterior Contractors","Other Foundation, Structure, and Building Exterior Contractors",NAICS
238190,"Other Foundation, Structure, and Building Exterior Contractors","Other Foundation, Structure, and Building Exterior Contractors",NAICS
2382,Building Equipment ContractorsT,Building Equipment ContractorsT,NAICS
23821,Electrical Contractors and Other Wiring Installation ContractorsT,Electrical Contractors and Other Wiring Installation ContractorsT,NAICS
238210,Electrical Contractors and Other Wiring Installation Contractors,Electrical Contractors and Other Wiring Installation Contractors,NAICS
23822,"Plumbing, Heating, and Air-Conditioning ContractorsT","Plumbing, Heating, and Air-Conditioning ContractorsT",NAICS
238220,"Plumbing, Heating, and Air-Conditioning Contractors","Plumbing, Heating, and Air-Conditioning Contractors",NAICS
23829,Other Building Equipment ContractorsT,Other Building Equipment ContractorsT,NAICS
238290,Other Building Equipment Contractors,Other Building Equipment Contractors,NAICS
2383,Building Finishing ContractorsT,Building Finishing ContractorsT,NAICS
23831,Drywall and Insulation ContractorsT,Drywall and Insulation ContractorsT,NAICS
238310,Drywall and Insulation Contractors,Drywall and Insulation Contractors,NAICS
23832,Painting and Wall Covering ContractorsT,Painting and Wall Covering ContractorsT,NAICS
238320,Painting and Wall Covering Contractors,Painting and Wall Covering Contractors,NAICS
23833,Flooring ContractorsT,Flooring ContractorsT,NAICS
238330,Flooring Contractors,Flooring Contractors,NAICS
23834,Tile and Terrazzo Contractors,Tile and Terrazzo Contractors,NAICS
238340,Tile and Terrazzo Contractors,Tile and Terrazzo Contractors,NAICS
23835,Finish Carpentry ContractorsT,Finish Carpentry ContractorsT,NAICS
238350,Finish Carpentry Contractors,Finish Carpentry Contractors,NAICS
23839,Other Building Finishing ContractorsT,Other Building Finishing ContractorsT,NAICS
238390,Other Building Finishing Contractors,Other Building Finishing Contractors,NAICS
2389,Other Specialty Trade ContractorsT,Other Specialty Trade ContractorsT,NAICS
23891,Site Preparation ContractorsT,Site Preparation ContractorsT,NAICS
238910,Site Preparation Contractors,Site Preparation Contractors,NAICS
23899,All Other Specialty Trade ContractorsT,All Other Specialty Trade ContractorsT,NAICS
238990,All Other Specialty Trade Contractors,All Other Specialty Trade Contractors,NAICS
311,Food ManufacturingT,Food ManufacturingT,NAICS
3111,Animal Food ManufacturingT,Animal Food ManufacturingT,NAICS
31111,Animal Food ManufacturingT,Animal Food ManufacturingT,NAICS
311111,Dog and Cat Food Manufacturing,Dog and Cat Food Manufacturing,NAICS
311119,Other Animal Food Manufacturing,Other Animal Food Manufacturing,NAICS
3112,Grain and Oilseed MillingT,Grain and Oilseed MillingT,NAICS
31121,Flour Milling and Malt ManufacturingT,Flour Milling and Malt ManufacturingT,NAICS
311211,Flour Milling,Flour Milling,NAICS
311212,Rice Milling,Rice Milling,NAICS
311213,Malt Manufacturing,Malt Manufacturing,NAICS
31122,Starch and Vegetable Fats and Oils ManufacturingT,Starch and Vegetable Fats and Oils ManufacturingT,NAICS
311221,Wet Corn Milling and Starch Manufacturing,Wet Corn Milling and Starch Manufacturing,NAICS
311224,Soybean and Other Oilseed Processing,Soybean and Other Oilseed Processing,NAICS
311225,Fats and Oils Refining and Blending,Fats and Oils Refining and Blending,NAICS
31123,Breakfast Cereal ManufacturingT,Breakfast Cereal ManufacturingT,NAICS
311230,Breakfast Cereal Manufacturing,Breakfast Cereal Manufacturing,NAICS
3113,Sugar and Confectionery Product ManufacturingT,Sugar and Confectionery Product ManufacturingT,NAICS
31131,Sugar ManufacturingT,Sugar ManufacturingT,NAICS
311313,Beet Sugar Manufacturing,Beet Sugar Manufacturing,NAICS
311314,Cane Sugar Manufacturing,Cane Sugar Manufacturing,NAICS
31134,Nonchocolate Confectionery ManufacturingT,Nonchocolate Confectionery ManufacturingT,NAICS
311340,Nonchocolate Confectionery Manufacturing,Nonchocolate Confectionery Manufacturing,NAICS
31135,Chocolate and Confectionery ManufacturingT,Chocolate and Confectionery ManufacturingT,NAICS
311351,Chocolate and Confectionery Manufacturing from Cacao Beans,Chocolate and Confectionery Manufacturing from Cacao Beans,NAICS
311352,Confectionery Manufacturing from Purchased Chocolate,Confectionery Manufacturing from Purchased Chocolate,NAICS
3114,Fruit and Vegetable Preserving and Specialty Food ManufacturingT,Fruit and Vegetable Preserving and Specialty Food ManufacturingT,NAICS
31141,Frozen Food ManufacturingT,Frozen Food ManufacturingT,NAICS
311411,"Frozen Fruit, Juice, and Vegetable Manufacturing","Frozen Fruit, Juice, and Vegetable Manufacturing",NAICS
311412,Frozen Specialty Food Manufacturing,Frozen Specialty Food Manufacturing,NAICS
31142,"Fruit and Vegetable Canning, Pickling, and DryingT","Fruit and Vegetable Canning, Pickling, and DryingT",NAICS
311421,Fruit and Vegetable Canning,Fruit and Vegetable Canning,NAICS
311422,Specialty Canning,Specialty Canning,NAICS
311423,Dried and Dehydrated Food Manufacturing,Dried and Dehydrated Food Manufacturing,NAICS
3115,Dairy Product ManufacturingT,Dairy Product ManufacturingT,NAICS
31151,Dairy Product (except Frozen) ManufacturingT,Dairy Product (except Frozen) ManufacturingT,NAICS
311511,Fluid Milk Manufacturing,Fluid Milk Manufacturing,NAICS
311512,Creamery Butter Manufacturing,Creamery Butter Manufacturing,NAICS
311513,Cheese Manufacturing,Cheese Manufacturing,NAICS
311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing","Dry, Condensed, and Evaporated Dairy Product Manufacturing",NAICS
31152,Ice Cream and Frozen Dessert ManufacturingT,Ice Cream and Frozen Dessert ManufacturingT,NAICS
311520,Ice Cream and Frozen Dessert Manufacturing,Ice Cream and Frozen Dessert Manufacturing,NAICS
3116,Animal Slaughtering and ProcessingT,Animal Slaughtering and ProcessingT,NAICS
31161,Animal Slaughtering and ProcessingT,Animal Slaughtering and ProcessingT,NAICS
311611,Animal (except Poultry) Slaughtering,Animal (except Poultry) Slaughtering,NAICS
311612,Meat Processed from Carcasses,Meat Processed from Carcasses,NAICS
311613,Rendering and Meat Byproduct Processing,Rendering and Meat Byproduct Processing,NAICS
311615,Poultry Processing,Poultry Processing,NAICS
3117,Seafood Product Preparation and PackagingT,Seafood Product Preparation and PackagingT,NAICS
31171,Seafood Product Preparation and PackagingT,Seafood Product Preparation and PackagingT,NAICS
311710,Seafood Product Preparation and Packaging,Seafood Product Preparation and Packaging,NAICS
3118,Bakeries and Tortilla ManufacturingT,Bakeries and Tortilla ManufacturingT,NAICS
31181,Bread and Bakery Product ManufacturingT,Bread and Bakery Product ManufacturingT,NAICS
311811,Retail Bakeries,Retail Bakeries,NAICS
311812,Commercial Bakeries,Commercial Bakeries,NAICS
311813,"Frozen Cakes, Pies, and Other Pastries Manufacturing","Frozen Cakes, Pies, and Other Pastries Manufacturing",NAICS
31182,"Cookie, Cracker, and Pasta ManufacturingT","Cookie, Cracker, and Pasta ManufacturingT",NAICS
311821,Cookie and Cracker Manufacturing,Cookie and Cracker Manufacturing,NAICS
311824,"Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour","Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour",NAICS
31183,Tortilla ManufacturingT,Tortilla ManufacturingT,NAICS
311830,Tortilla Manufacturing,Tortilla Manufacturing,NAICS
3119,Other Food ManufacturingT,Other Food ManufacturingT,NAICS
31191,Snack Food ManufacturingT,Snack Food ManufacturingT,NAICS
311911,Roasted Nuts and Peanut Butter Manufacturing,Roasted Nuts and Peanut Butter Manufacturing,NAICS
311919,Other Snack Food Manufacturing,Other Snack Food Manufacturing,NAICS
31192,Coffee and Tea ManufacturingT,Coffee and Tea ManufacturingT,NAICS
311920,Coffee and Tea Manufacturing,Coffee and Tea Manufacturing,NAICS
31193,Flavoring Syrup and Concentrate ManufacturingT,Flavoring Syrup and Concentrate ManufacturingT,NAICS
311930,Flavoring Syrup and Concentrate Manufacturing,Flavoring Syrup and Concentrate Manufacturing,NAICS
31194,Seasoning and Dressing ManufacturingT,Seasoning and Dressing ManufacturingT,NAICS
311941,"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing","Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing",NAICS
311942,Spice and Extract Manufacturing,Spice and Extract Manufacturing,NAICS
31199,All Other Food ManufacturingT,All Other Food ManufacturingT,NAICS
311991,Perishable Prepared Food Manufacturing,Perishable Prepared Food Manufacturing,NAICS
311999,All Other Miscellaneous Food Manufacturing,All Other Miscellaneous Food Manufacturing,NAICS
312,Beverage and Tobacco Product ManufacturingT,Beverage and Tobacco Product ManufacturingT,NAICS
3121,Beverage ManufacturingT,Beverage ManufacturingT,NAICS
31211,Soft Drink and Ice ManufacturingT,Soft Drink and Ice ManufacturingT,NAICS
312111,Soft Drink Manufacturing,Soft Drink Manufacturing,NAICS
312112,Bottled Water Manufacturing,Bottled Water Manufacturing,NAICS
312113,Ice Manufacturing,Ice Manufacturing,NAICS
31212,BreweriesT,BreweriesT,NAICS
312120,Breweries,Breweries,NAICS
31213,WineriesT,WineriesT,NAICS
312130,Wineries,Wineries,NAICS
31214,DistilleriesT,DistilleriesT,NAICS
312140,Distilleries,Distilleries,NAICS
3122,Tobacco ManufacturingT,Tobacco ManufacturingT,NAICS
31223,Tobacco Manufacturing,Tobacco Manufacturing,NAICS
312230,Tobacco Manufacturing,Tobacco Manufacturing,NAICS
313,Textile MillsT,Textile MillsT,NAICS
3131,"Fiber, Yarn, and Thread MillsT","Fiber, Yarn, and Thread MillsT",NAICS
31311,"Fiber, Yarn, and Thread MillsT","Fiber, Yarn, and Thread MillsT",NAICS
313110,"Fiber, Yarn, and Thread Mills","Fiber, Yarn, and Thread Mills",NAICS
3132,Fabric MillsT,Fabric MillsT,NAICS
31321,Broadwoven Fabric MillsT,Broadwoven Fabric MillsT,NAICS
313210,Broadwoven Fabric Mills,Broadwoven Fabric Mills,NAICS
31322,Narrow Fabric Mills and Schiffli Machine EmbroideryT,Narrow Fabric Mills and Schiffli Machine EmbroideryT,NAICS
313220,Narrow Fabric Mills and Schiffli Machine Embroidery,Narrow Fabric Mills and Schiffli Machine Embroidery,NAICS
31323,Nonwoven Fabric MillsT,Nonwoven Fabric MillsT,NAICS
313230,Nonwoven Fabric Mills,Nonwoven Fabric Mills,NAICS
31324,Knit Fabric MillsT,Knit Fabric MillsT,NAICS
313240,Knit Fabric Mills,Knit Fabric Mills,NAICS
3133,Textile and Fabric Finishing and Fabric Coating MillsT,Textile and Fabric Finishing and Fabric Coating MillsT,NAICS
31331,Textile and Fabric Finishing Mills,Textile and Fabric Finishing Mills,NAICS
313310,Textile and Fabric Finishing Mills,Textile and Fabric Finishing Mills,NAICS
31332,Fabric Coating MillsT,Fabric Coating MillsT,NAICS
313320,Fabric Coating Mills,Fabric Coating Mills,NAICS
314,Textile Product MillsT,Textile Product MillsT,NAICS
